"component","bagofwords","transformed_bagofwords"
"org.wordpress.android.mocks.OAuthAuthenticatorFactoryTest","public Auth Authenticator make switch Mode case EMPTY default TESTS Empty Mock return ","default switch auto mode authent return empti public test mock"
"org.wordpress.android.mocks.RestClientEmptyMock","public Rest Client Empty Mock android volley Request Queue queue super java lang String token REST ENDPOINT Absolute return null path util params wordpress rest Listener listener Error error TESTS this Class Method post body POST make method send request void User Agent user Access Token boolean Authenticated true ","string acc queue ang cla absolut client thi post boolean return bodi empti util listen true endpoint rest user void ava para request super authent send mock volley null token method public path agent android word pre error test"
"org.wordpress.android.mocks.XMLRPCClientCustomizableMockAbstract","public void Context Prefix context String prefix ","public string context prefix void"
"org.wordpress.android.mocks.SystemServiceFactoryTest","public Object Context context String name System Property dexmaker dexcache Cache Path NOTIFICATION SERVICE equals Notification Manager notification mock class Callback null Answer when notify cancel return else TESTS Service supported Factory Test ","string cla context return support els factori manag notif cancel detach servic properti mock dressmak answer callback null public path notifi system name equal cach test object"
"org.wordpress.android.mocks.XMLRPCFactoryTest","public static void Context Instances context Mode CUSTOMIZABLE JSON TESTS tried change customizable XMLRPC Client mock Customizable Mock Abstract client Prefix String prefix Interface make http User Password switch case null else have Factory Test field before running tests throw Illegal State Exception return EMPTY default Empty ","string default abstract throw client context return empti user els void factori chang interfac mock tri except null prefix proxim mode public customiz instanc field son switch illeg run password test static"
"org.wordpress.android.mocks.RestClientCustomizableMock","public void Context Prefix context String prefix Rest Client Customizable Mock android volley Request Queue queue super token REST ENDPOINT Absolute return null path java util params Listener listener Error error TESTS this Class Method post body POST make method dummy Return Value filename replace https json password invalid equals Response forge Volley From Filename username exists timeout Timeout site reserved data read throw Runtime Exception JSON Object catch send request User Agent Access Token boolean Authenticated true ","string acc queue throw cla absolut client thi post exist boolean context return bodi listen util filenam true endpoint rest user void forg runtim catch ava para request super valu respons authent timeout send mock except volley null prefix token invalid method public dummi path customiz agent android datum replac read son equal name reserv error password test object site"
"org.wordpress.android.mocks.RestClientFactoryTest","public static void Context Instances context Mode CUSTOMIZABLE TESTS change customizable Rest Client mock Customizable Mock client Prefix String prefix make Request Queue queue switch case null else have Factory Test field before running tests throw Illegal State Exception return EMPTY default Empty REST CLIENT VERSIONS version Version ","string default queue version throw client context return empti rest els void factori request chang mock except null prefix mode public customiz instanc field switch illeg run test static"
"org.wordpress.android.mocks.XMLRPCClientCustomizableJSONMock","public XMLRPC Client Customizable JSON Mock String http User Password void Quick Post Header type Authorization auth Token Object call method params throws Exception Logged Input Stream null TESTS login failure equals Prefix code Value read File failback default return temp long Async Callback listener Name Response Document ","string input default code throw client post return stream listen document user void author quick para valu respons mock log except file null token prefix sync callback proxim auto method tailback public customiz header type temp read son equal name password test call object failur login"
"org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock","public XMLRPC Client Customizable Mock String http User Password void Quick Post Header type Authorization auth Token Object call method params throws Exception Pull Parser Logged Input Stream null prepare Method catch failed TESTS login failure equals Prefix Fault code Value read File failback default return temp long Async Callback listener Name Response Document ","string input default pull code throw client post return stream listen document user void author catch quick para valu respons prepar mock log parser except file null token prefix fault sync callback proxim auto method tailback public fail customiz header type temp read equal name password test call object failur login"
"org.wordpress.android.mocks.OAuthAuthenticatorEmptyMock","public void authenticate Authenticator Request request Account Helper Default Access Token dead parrot ","void default acc dead account token request authent helper public parrot"
