component,bagofwords
org.coolreader.donations.CRDonationService,public Donation Service Activity activity PACKAGE NAME Package Name connect void Conn Connection Override Disconnected Component name null Billing Supported false Connected Binder service Stub Interface VERSION inapp RESULT Products SKUS Purchases list catch Remote Exception while trying check billing supported purchase String product Listener listener Current Completed Bundle Intent PAYLOAD Pending pending Parcelable INTENT start Sender Result Integer value request Code result data Data Extra INAPP PURCHASE DATA JSON Object completed true Total Donations return checking failed bind android vending BIND Context AUTO CREATE Bound unbind boolean 
org.coolreader.plugins.AsyncOperationControl,public void cancel cancelled true boolean Cancelled return finished Finished Active 
org.coolreader.plugins.OnlineStoreWrapper,public Online Store Wrapper Plugin plugin this File Info create Root Directory final root Scanner Library Item Package Name genres Books authors String first Letters First Author char Char Array Upper Case books popular Popular return Async Operation Control open Callback callback control equals Catalog finished Error wrong path Path null fill Genres else starts With prefix Authors Prefix Purchased Ready authenticate login password Authentication register Account Hash params private void load Continue boolean Bought false Override error Code Message Skip Login true Password Success purchase download trial file Save Download Description Refill List Registration Param Parameters 
org.coolreader.plugins.OnlineStorePluginManager,public static Online Store Wrapper Plugin Activity activity String path starts With File Info ONLINE CATALOG PLUGIN PREFIX index package Name substring wrapper plugin null Shared Preferences preferences Context MODE PRIVATE Litres PACKAGE NAME equals return 
org.coolreader.plugins.OnlineStoreBook,public String Authors Builder authors size Online Store length append name Utils concat first Name last title return Series empty sequence Number 
org.coolreader.plugins.DownloadBookCallback,
org.coolreader.plugins.OnlineStorePlugin,
org.coolreader.plugins.OnlineStoreBookInfo,
org.coolreader.plugins.OnlineStoreBooks,public void Online Store Book item list size return index sort Series Title Collections Comparator Override compare sequence Name null Ignore Case Number else Utils book 
org.coolreader.plugins.ErrorCallback,
org.coolreader.plugins.FileResponse,public File Response Online Store Book book file Save boolean Trial this Override void Error error Code String Message litres Async return 
org.coolreader.plugins.OnlineStoreRegistrationParam,public Online Store Registration Param String name description boolean mandatory super this 
org.coolreader.plugins.AsyncResponse,
org.coolreader.plugins.FileInfoCallback,
org.coolreader.plugins.OnlineStoreAuthors,public void Online Store Author author list size return index sort Name Collections Comparator Override compare Utils last 
org.coolreader.plugins.AuthenticationCallback,
org.coolreader.plugins.OnlineStoreAuthor,public String Prefix size prefix Utils empty last Name substring length while return Upper Case Override Litres Author first middle title photo 
org.coolreader.plugins.ErrorResponse,public Error Response error Code String Message this 
org.coolreader.plugins.BookInfoCallback,
org.coolreader.plugins.PurchaseBookCallback,
org.coolreader.plugins.litres.ResponseCallback,
org.coolreader.plugins.litres.LitresConnection,public static Litres Connection create Shared Preferences preferences return void send Request final String params Response Handler content Result result sending request callback worker Thread post Runnable Error error Code Message Override Http connection null open catch Exception Cannot instanceof Https supported Only HTTP opened Property User Agent Cool Reader Android Instance Follow Redirects true Allow Interaction false Timeout CONNECT TIMEOUT READ Output Method POST List Name Value Pair list Linked Entry entry Basic Encoded Form Entity Params Stream write flush close file disp Header Field Content Disposition index filename substring response Type Encoding Length length type encoding CONTENT BUFFER Wrong Input gzip equals compressed with GZIP Buffered Parser Factory Validating parse Configuration while parsing accessing litres server finally disconnect File Store else downloading Save bytes Utils copy downloaded delete Genres genres System current Millis Last Update Timestamp Hash search types GENRES Node Async super Element local throws catalit Parent start Attributes attributes item title token Child Authors last Pattern AUTHORS Online boolean inside Catalit Persons persons subject concat first characters text middle photo main generate Book book Builder append empty Title transcribe With Limit authors size Books checkpoint CATALOG Info books info Trial trial authorization failed Authorization account Double rating Size base Price price cover Preview preview path TRIALS sequence Number number Purchased offset Count limit Popular AUTHORIZATION Login Password authorize login AUTHORIZE user users Rebill rebill save register Registration ACCOUNT PARAM LOGIN PASSWORD lfrom mail EMAIL FIRST NAME MIDDLE LAST city CITY phone PHONE subscribe SUBSCRIBE present REGISTER registration coment purchase PURCHASE Status Unknown Balance comment DOWNLOAD BOOK Integer value Format double stop 
org.coolreader.plugins.litres.ResponseHandler,Override public void Error error Code String Message litres this Async Response return null 
org.coolreader.plugins.litres.LitresPlugin,public Litres Plugin Activity activity Shared Preferences preferences this connection Connection create Override String First Author Name Letters return Package PACKAGE NAME Description coolreader string online store plugin description litres name Param http lfrom null length Account Refill pages money account Array List Online Store Registration Parameters ACCOUNT PARAM LOGIN login true PASSWORD password EMAIL param email false FIRST first MIDDLE middle LAST last CITY city GENDER gender SUBSCRIBE subscribe void authenticate final Async Operation Control control Authentication Callback callback authorize Result Handler Response response finished instanceof Error error Code Message else Info result Success register Hash params Login Password Genres File load Ready Books file Count BOOK LOAD PAGE SIZE AUTHOR Purchased size genre Authors Prefix prefix Last sort GROUPING THRESHOLD Grouped book boolean Only found info Logged Balance Popular POPULAR protected purchase ERROR ENOUGH MONEY Status logged authorization Valid private download trial Save Download Downloaded Trial version 
